J;F;M;A;M;J;J;A;S;O;N;D;Station
0;0;0;690;1919;2166;1901;1090;999;920;317;0;10e avenue / Holt
0;0;0;1280;4850;5936;6626;6977;5931;5292;1988;0;10e avenue / Masson
0;0;0;0;0;0;0;30;53;40;19;0;11e avenue / du Souvenir
0;0;0;545;1543;1767;1881;1984;1766;1456;569;0;12e avenue / St-Zotique
0;0;0;1016;2774;3421;3497;3905;3603;3074;1190;0;15e avenue / Masson
0;0;0;704;2127;1926;1835;1746;1281;986;441;0;16e avenue / Beaubien
0;0;0;434;1489;1436;1512;1598;1458;1039;369;0;16e avenue / Jean-Talon
0;0;0;693;2107;2576;2889;3054;2709;2106;738;0;16e avenue / St-Joseph
0;0;0;850;2467;2767;2704;2821;1719;1005;359;0;18e avenue / Rosemont
0;0;0;43;0;0;0;0;0;0;0;0;18e avenue / St-Joseph Lachine
0;0;0;0;0;0;13;19;17;5;0;0;19e avenue / Saint-Antoine
0;0;0;22;87;118;74;77;56;20;10;0;19e avenue / St-Antoine
0;0;0;442;2115;2468;2642;2590;2511;1882;712;0;19e avenue / St-Zotique
0;0;0;491;1453;1840;1819;1708;1457;1269;517;0;1ère  avenue / St-Zotique
0;0;0;1530;2983;3376;1965;0;0;0;0;0;1ère avenue / Masson
0;0;0;799;2275;2485;2710;2710;2566;2315;902;0;1ère avenue / Rosemont
0;0;0;0;71;236;0;0;0;0;0;0;21e avenue / St-Joseph Lachine
0;0;0;474;1610;1775;1959;1883;1616;1248;466;0;26e avenue / Beaubien
0;0;0;239;955;974;1100;1021;1588;1180;381;0;27e avenue / Rosemont
0;0;0;350;891;839;984;939;11;0;0;0;28e avenue / Rosemont
0;0;0;395;1411;1542;1694;1799;1588;1295;547;0;29e avenue / St-Zotique
0;0;0;0;115;182;464;692;613;471;168;0;2e avenue / Centrale
0;0;0;243;803;900;934;993;974;664;200;0;2e avenue / Jean-Rivard
0;0;0;839;2904;2623;1410;0;1395;2217;893;0;2e avenue / Wellington
0;0;0;41;242;285;58;0;0;0;0;0;2e avenue /centrale
0;0;0;363;1251;1479;1517;1492;1288;1014;327;0;35e avenue / Beaubien
0;0;0;556;1738;1861;2171;2433;2099;1846;711;0;3e avenue / Holt
0;0;0;229;799;1021;1036;1022;945;711;258;0;41e avenue / Rosemont
0;0;0;2;75;61;155;189;80;62;21;0;41e avenue / Victoria
0;0;0;588;1623;1941;2115;2125;1946;1380;554;0;4e avenue / de Verdun
0;0;0;420;1148;1402;1599;1712;1404;1050;410;0;5e avenue / Bannantyne
0;0;0;745;3484;4841;5508;5420;5172;4665;1809;0;5e avenue / Masson
0;0;0;549;1565;1991;1977;2020;1945;1644;613;0;5e avenue / Rosemont
0;0;0;193;788;784;1276;1447;1135;977;367;0;6e avenue / Bélanger
0;0;0;0;0;0;40;521;452;327;138;0;6e avenue / Villeray
0;0;0;786;2139;2708;2961;2948;2675;2301;903;0;7e avenue / St-Joseph Rosemont
0;0;0;121;450;492;462;382;394;269;98;0;8e avenue / Everett
0;0;0;64;178;59;0;0;0;0;0;0;8e avenue / Jarry
0;0;0;56;215;279;185;215;121;127;57;0;8e avenue / Notre-Dame Lachine
