Station;RoundingTrips
Parc Jean-Drapeau (Chemin Macdonald);16545
Crescent / de Maisonneuve;8537
de la Commune / Place Jacques-Cartier;7029
de la Commune / St-Sulpice;5700
Métro Mont-Royal (Rivard / du Mont-Royal);5000
Métro Atwater (Atwater / Ste-Catherine);4000
Parc Jeanne Mance (monument sir George-Etienne Cartier);3477
de la Commune / Berri;3433
des Bassins / du Séminaire;3410
de la Commune / King (2);2870
St-Charles / Thomas-Keefer;2847
Prince-Arthur / du Parc;2714
Léa-Roback / Sir-Georges-Etienne-Cartier;2577
Métro Peel (de Maisonneuve / Stanley);2567
du Mont-Royal / Clark;2493
Richmond / des Bassins;2489
Marquette / du Mont-Royal;2467
Parc Jeanne-Mance (du Mont-Royal / du Parc);2411
Boyer / du Mont-Royal;2409
Gary-Carter / St-Laurent;2396
Rosemont / Viau;2378
Parc Maisonneuve (Viau / Sherbrooke);2370
Clark / Prince-Arthur;2363
de Brébeuf / du Mont-Royal;2345
Métro Guy-Concordia (Guy / St-Catherine);2276
Milton / Clark;2273
Square St-Louis (du Square St-Louis / Laval);2193
Chomedey / de Maisonneuve;2150
Marché Atwater;2146
McTavish / Sherbrooke;2134
Parc du Pélican (1ère avenue / Masson);2129
Métro Papineau (Cartier / Ste-Catherine);2080
Mackay / de Maisonneuve;2071
Mackay / Sainte-Catherine;2018
Ste-Famille / Sherbrooke;2018
Parc riverain de Lachine (des Iroquois);2012
Laurier / de Brébeuf;1993
Parc nature de l'Île-de-la-Visitation (Gouin / de Bruchési);1991
de Kent / de la Côte-des-Neiges;1985
Milton / Durocher;1875
St-André / Ste-Catherine;1867
Milton / du Parc;1865
Young / Wellington;1862
St-Dominique / Laurier;1860
Calixa-Lavallée / Rachel;1824
Gare d'autocars de Montréal (Berri / Ontario);1795
Métro Vendôme (de Marlowe / de Maisonneuve);1775
St-Dominique / Rachel;1723
St-Catherine / St-Laurent;1720
St-Mathieu / Ste-Catherine;1712
Métro Angrignon (Lamont /  des Trinitaires);1691
Roy / St-Denis;1651
Clark / Rachel;1644
Rachel / de Brébeuf;1619
St-Dominique / St-Zotique;1592
St-Nicolas / Place d'Youville;1573
Berri / Cherrier;1568
Parc Père-Marquette (Chambord / Rosemont);1568
Parc des Rapides (LaSalle / 6e avenue);1567
Jean-Brillant / de la Côte-des-Neiges;1564
Place du Commerce;1559
Gauthier / Papineau;1556
Notre-Dame / Jean-d'Estrées;1544
Duluth / de l'Esplanade;1519
University / Milton;1513
Resther / du Mont-Royal;1503
des Ormeaux / Notre-Dame;1496
de l'Esplanade / du Mont-Royal;1459
Jardin Botanique (Pie-IX / Sherbrooke);1457
Duluth / St-Laurent;1452
Parc Plage;1438
de la Côte St-Paul / St-Ambroise;1426
Métro St-Laurent (de Maisonneuve / St-Laurent);1426
Ste-Catherine / Labelle;1416
Ste-Émilie / Sir-Georges-Etienne-Cartier;1415
Bloomfield / Bernard;1411
Émile-Duployé / Sherbrooke;1410
Métro Place St-Henri (St-Ferdinand / St-Jacques);1406
Boyer / Rosemont;1398
Hutchison / Prince-Arthur;1384
Gilford / St-Denis;1380
Guilbault / Clark;1374
Bernard / Jeanne-Mance;1359
Jacques-Le Ber / de la Pointe Nord;1359
Mackay / Ste-Catherine;1351
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin);1351
Jeanne-Mance / Laurier;1350
Kirkfield / de Chambois;1339
Swail / Decelles;1338
Métro Parc  (Hutchison / Ogilvy);1329
Aylwin / Ontario;1319
Jeanne-Mance / St-Viateur;1319
Square Victoria (Viger / du Square-Victoria);1312
BAnQ (Berri / de Maisonneuve);1310
Métro Sherbrooke (de Rigaud / St-Denis);1310
Dorion / Ontario;1299
Clark / St-Viateur;1283
Métro Snowdon (de Westbury / Queen-Mary);1275
Laval / Duluth;1274
Marquette / Laurier;1271
Quai de la navette fluviale;1270
Marquette / Rachel;1269
Roy / St-Laurent;1269
Drolet / Laurier;1267
Boyer / Beaubien;1264
Jeanne-Mance / René-Lévesque;1261
Notre-Dame / de la Montagne;1256
Elgar / de l'Île-des-Sœurs;1252
des Érables / Rachel;1248
Bernard / St-Urbain;1243
19e avenue / St-Zotique;1242
Métro Lasalle (de Rushbrooke / Caisse);1242
de l'Esplanade / Fairmount;1236
Berlioz / de l'Île des Soeurs;1233
Tupper / du Fort;1229
Cité des Arts du Cirque (Paul Boutet / des Regrattiers);1227
St-Jacques / des Seigneurs;1211
Roy / St-André;1208
St-Dominique / Napoléon;1205
Parc de la Confédération (Fielding / West Hill);1200
Métro Longueuil - Université de Sherbrooke;1197
St-Hubert / Duluth;1197
de Mentana / Laurier;1184
Paré / Mountain Sights;1184
Villeneuve / du Parc;1175
Chabot / du Mont-Royal;1173
Ste-Catherine / St-Marc;1169
Villeneuve / St-Laurent;1159
Édouard-Montpetit / de Stirling;1157
Maguire / St-Laurent;1152
U. Concordia - Campus Loyola (Sherbrooke / West Broadway);1146
de Maisonneuve / Greene;1141
Papineau / Émile-Journault;1139
Hutchison / des Pins;1138
William / St-Henri;1138
Métro Beaubien (de Chateaubriand / Beaubien);1133
St-Antoine / de la Montagne;1133
de Lanaudière / du Mont-Royal (2);1130
Aylmer / Prince-Arthur;1128
des Récollets / McGill;1123
Métro de l'Église (Ross / de l'Église);1109
Parc St-Paul (Le Caron / Marc-Sauvalle);1107
Parc Kent (de Kent / Hudson);1102
du Parc-La Fontaine / Duluth;1099
Rivard / Rachel;1099
St-Joseph / 8e avenue Lachine;1099
Peel / Ottawa;1086
Métro Laurier (Rivard / Laurier);1085
Regina / de Verdun;1083
10e avenue / Masson;1078
St-Patrick / Briand;1072
15e avenue / Masson;1071
Parc de Dieppe;1066
Gare Bois-de-Boulogne;1063
St-André / Cherrier;1050
Parc de Bullion (de Bullion / Prince-Arthur);1046
Dollard / Van Horne;1042
Métro Charlevoix (Centre / Charlevoix);1042
Laval / du Mont-Royal;1040
Calixa-Lavallée / Sherbrooke;1038
Marcil / Sherbrooke;1034
Métro Henri-Bourassa (Henri-Bourassa / Millen);1033
Métro Joliette  (Joliette / Hochelaga);1029
Panet / Ste-Catherine;1028
Vallières / St-Laurent;1028
Harvard / de Monkland;1026
Ottawa / William;1026
Drolet / Marie-Anne;1023
Du Quesne / Pierre-de-Coubertin;1023
Marmier / St-Denis;1021
Parc St-Louis (St-Joseph / 34e avenue);1011
Joseph-Manseau / René-Lévesque;1010
Messier / du Mont-Royal;1007
Ropery / Augustin-Cantin;1007
Métro Monk (Allard / Beaulieu);1001
McKenna / Édouard-Montpetit;995
St-Urbain / René-Lévesque;995
du Parc-La Fontaine / Roy;989
Dézéry / Ontario;989
St-Joseph / 34e avenue Lachine;989
Parc Baldwin (Fullum / Sherbrooke);984
Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance);980
Marie-Anne / de la Roche;975
Beaucourt / de la Côte-Ste-Catherine;973
Bélanger / St-Denis;970
Drummond / Ste-Catherine;967
Laforest / Dudemaine;967
Casino de Montréal;962
Waverly / St-Viateur;958
Parc Père-Marquette (de Lanaudière / de Bellechasse);945
St-Dominique / de Bellechasse;943
Bishop / Ste-Catherine;940
Ste-Catherine / Union;938
Métro Préfontaine (Moreau / Hochelaga);934
Laval / Rachel;929
4e avenue / de Verdun;927
Jeanne-d'Arc / Ontario;923
Victoria / de Maisonneuve;923
Duvernay / Charlevoix;920
Wilderton  / Van Horne;919
Métro Sauvé (Berri / Sauvé);916
St-Alexandre / Ste-Catherine;916
Beaudry / Sherbrooke;914
Parc du Bois-Franc (de l'Équateur / des Andes);912
Parc Howard (de l'Épée / de Liège);911
Marché Jean-Talon (Henri-Julien / Jean-Talon);910
LaSalle / 37e avenue;906
Clark / Ontario;904
de Lanaudière / Laurier;896
St-Dominique / du Mont-Royal;894
Marché Maisonneuve;887
5e avenue / Masson;882
LaSalle / 80e avenue;876
St-Mathieu / Sherbrooke;876
Prince-Arthur / St-Urbain;875
Berri / Rachel;874
Grey / Sherbrooke;873
Métro Place-d'Armes (Viger / St-Urbain);866
Place d'Youville / McGill;865
LaSalle / Godin;864
de Gaspé / Marmier;862
La Tour de Montréal (Pierre-de-Coubertin / Bennett);857
Atateken / du Square Amherst;855
Villeneuve / de l'Hôtel-de-Ville;851
d'Orléans / Masson;849
Thimens / Alexis-Nihon;849
Dorion / Rachel;844
Ste-Catherine / Dezery;843
Bourgeoys / Favard;839
de Mentana / Marie-Anne;839
Parc Loyola (Somerled / Doherty);835
Crescent / René-Lévesque;834
Villeneuve / St-Urbain;833
Hamilton / Jolicoeur;830
Eleanor / Ottawa;827
Richardson / de Montmorency;827
Drummond / de Maisonneuve;824
Bloomfield / Ball;823
Wellington / 2e avenue;822
Querbes / Laurier;820
2e avenue / Wellington;817
Guy / Sainte-Catherine;816
Parc Benny (Benny / de Monkland);816
University / Prince-Arthur;816
Gagne / LaSalle;815
Métro Frontenac (Ontario / du Havre);815
Marché Jean-Talon (Casgrain / Shamrock);814
Marquette / des Carrières;809
Métro Verdun (Willibrord / de Verdun);800
Métro Édouard-Montpetit (du Mont-Royal / Vincent-d'Indy);800
Sanguinet / de Maisonneuve;797
Campus MIL (Outremont / Thérèse-Lavoie Roux);796
Labadie / du Parc;795
Cartier / Masson;791
de l'Hôtel-de-Ville / Ste-Catherine;791
du Havre / de Rouen;790
Benny / Sherbrooke;789
Métro Rosemont (de St-Vallier / Rosemont);789
Earnscliffe / Queen-Mary;788
Fabre / St-Zotique;786
Marquette / Gilford;786
Boucher / St-Denis;785
Fullum / Ontario;785
Guy / Notre-Dame;785
St-Christophe / René-Lévesque;785
Aylmer / Sherbrooke;783
Métro Champ-de-Mars (Viger / Sanguinet);781
Argyle / de Verdun;778
St-Jacques / St-Pierre;778
de Soissons / de Darlington;776
Louis-Hébert / de Bellechasse;775
16e avenue / Jean-Talon;771
2e avenue / Jean-Rivard;770
Fortune / Wellington;770
St-Urbain / de la Gauchetière;770
des Seigneurs / Notre-Dame;767
de Gaspé / Beaubien;765
Fullum / Marie-Anne;760
St-Ambroise / Louis-Cyr;760
